series_id,synth_control_type,p_value_<=0.05,p_value_<=0.1,R^2
111,T_predictors,0,0,0.553385702
111,F_predictors,0,0,0.654712378
111,ALL_predictors,0,1,0.713405094
111,NO_predictors,0,0,0.597504013
112,T_predictors,0,0,0.940621699
112,F_predictors,0,0,0.85681863
112,ALL_predictors,0,0,0.945368797
112,NO_predictors,0,0,NA
113,T_predictors,0,0,0.858201338
113,F_predictors,0,0,0.742881738
113,ALL_predictors,0,0,0.893135321
113,NO_predictors,0,0,0.777687318
114,T_predictors,0,0,0.88325248
114,F_predictors,0,0,0.901523798
114,ALL_predictors,0,0,0.909467144
114,NO_predictors,0,0,0.852552193
115,T_predictors,0,0,0.910819975
115,F_predictors,0,0,0.906851944
115,ALL_predictors,0,0,0.907039239
115,NO_predictors,0,0,0.89117337
116,T_predictors,0,0,0.890074404
116,F_predictors,0,0,0.890083678
116,ALL_predictors,0,0,0.89154018
116,NO_predictors,0,0,0.855803737
117,T_predictors,0,0,0.972502465
117,F_predictors,0,0,0.971847683
117,ALL_predictors,0,0,0.972567119
117,NO_predictors,0,0,0.948673857
118,T_predictors,0,0,0.95805102
118,F_predictors,0,0,0.963743108
118,ALL_predictors,0,0,0.963215569
118,NO_predictors,0,0,0.953783361
119,T_predictors,0,0,0.993251593
119,F_predictors,0,0,0.993220721
119,ALL_predictors,0,0,0.992927761
119,NO_predictors,0,0,0.99189601
120,T_predictors,0,0,0.990762898
120,F_predictors,0,0,0.990919097
120,ALL_predictors,0,0,0.99091897
120,NO_predictors,0,0,0.990757058
121,T_predictors,0,0,0.932243047
121,F_predictors,0,0,0.915027939
121,ALL_predictors,0,0,0.919266832
121,NO_predictors,0,0,0.842803452
122,T_predictors,0,0,0.970486072
122,F_predictors,0,0,0.97608567
122,ALL_predictors,0,0,0.976847386
122,NO_predictors,1,1,0.959649444
123,T_predictors,0,0,0.735296583
123,F_predictors,0,0,0.688456503
123,ALL_predictors,0,0,0.748573061
123,NO_predictors,0,0,0.666314262
124,T_predictors,0,0,0.914215125
124,F_predictors,0,0,0.91030436
124,ALL_predictors,0,0,0.918229475
124,NO_predictors,0,0,0.900995504
125,T_predictors,0,1,0.864374629
125,F_predictors,0,0,0.846762905
125,ALL_predictors,0,0,0.839086495
125,NO_predictors,0,0,0.832072284
126,T_predictors,0,0,0.939934743
126,F_predictors,0,0,0.945388417
126,ALL_predictors,0,0,0.950920572
126,NO_predictors,0,0,0.87558227
127,T_predictors,1,1,0.902621006
127,F_predictors,0,1,0.835236927
127,ALL_predictors,1,1,0.908584912
127,NO_predictors,1,1,0.834247176
128,T_predictors,0,0,NA
128,F_predictors,0,0,0.890844751
128,ALL_predictors,0,0,0.897570694
128,NO_predictors,0,0,0.880108103
129,T_predictors,0,1,0.968953557
129,F_predictors,0,0,0.98170332
129,ALL_predictors,0,0,0.969229793
129,NO_predictors,1,1,0.971977381
130,T_predictors,0,0,0.806907061
130,F_predictors,0,0,0.743300561
130,ALL_predictors,0,0,0.812806641
