"series_id","synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
81,ALL_predictors,0,0,0,88253729
81,NO_predictors,0,0,0,882436193
82,T_predictors,0,0,0,798079574
82,F_predictors,0,0,0,81853242
82,ALL_predictors,0,0,NA
82,NO_predictors,0,0,0,776177556
83,T_predictors,0,0,0,83572639
83,F_predictors,0,0,0,855216485
83,ALL_predictors,0,0,0,869816513
83,NO_predictors,0,0,NA
84,T_predictors,0,0,0,944859797
84,F_predictors,0,0,0,947139463
84,ALL_predictors,0,0,0,948999111
84,NO_predictors,0,0,0,941653909
85,T_predictors,0,0,0,740240835
85,F_predictors,0,0,0,693737295
85,ALL_predictors,0,0,0,678439252
85,NO_predictors,0,0,0,653025005
86,T_predictors,0,0,0,828415069
86,F_predictors,0,1,0,717245345
86,ALL_predictors,0,0,0,825548543
86,NO_predictors,0,0,0,570114012
87,T_predictors,0,0,0,935537918
87,F_predictors,0,0,0,935538509
87,ALL_predictors,0,0,0,935538452
87,NO_predictors,0,0,0,912887292
88,T_predictors,0,0,0,394255482
88,F_predictors,0,0,0,639969349
88,ALL_predictors,0,0,0,663293485
88,NO_predictors,0,0,0,393907203
89,T_predictors,0,0,0,940737526
89,F_predictors,0,0,0,965752245
89,ALL_predictors,0,0,0,965751744
89,NO_predictors,0,0,0,94065465
90,T_predictors,1,1,0,538548771
90,F_predictors,0,0,0,294934324
90,ALL_predictors,0,0,0,381116461
90,NO_predictors,0,0,-0,21717547
91,T_predictors,0,0,0,984822321
91,F_predictors,0,0,0,984398248
91,ALL_predictors,0,0,0,984693991
91,NO_predictors,0,0,0,980476604
92,T_predictors,0,0,0,947655087
92,F_predictors,0,0,0,966559936
92,ALL_predictors,0,0,0,945131124
92,NO_predictors,0,0,0,938852015
93,T_predictors,0,0,0,997876684
93,F_predictors,0,0,0,997876689
93,ALL_predictors,0,0,0,997876663
93,NO_predictors,0,0,0,997876684
94,T_predictors,0,0,0,913620944
94,F_predictors,0,0,NA
94,ALL_predictors,0,0,0,500156115
94,NO_predictors,0,0,0,356925923
95,T_predictors,0,0,0,840088749
95,F_predictors,0,0,0,840251017
95,ALL_predictors,0,0,0,840315189
95,NO_predictors,0,0,0,840224591
96,T_predictors,0,1,0,983154061
96,F_predictors,0,0,0,983158551
96,ALL_predictors,0,0,0,983154126
96,NO_predictors,0,1,0,983154399
97,T_predictors,0,0,0,927425412
97,F_predictors,0,0,0,960006415
97,ALL_predictors,0,0,0,952757297
97,NO_predictors,0,0,0,89931663
98,T_predictors,0,0,0,858439139
98,F_predictors,0,0,0,838342899
98,ALL_predictors,0,0,0,868403185
98,NO_predictors,0,0,0,814290166
99,T_predictors,0,0,0,953092071
99,F_predictors,0,0,NA
99,ALL_predictors,0,0,0,953091831
99,NO_predictors,0,0,0,952616342
100,T_predictors,1,1,0,565632169
100,F_predictors,0,0,0,460631779
100,ALL_predictors,0,0,0,565632015
100,NO_predictors,0,0,0,242854637
101,T_predictors,0,0,0,602181263
101,F_predictors,0,0,0,400702997
101,ALL_predictors,0,0,0,528018429
101,NO_predictors,0,0,0,249408864
102,T_predictors,0,1,0,981811562
102,F_predictors,0,1,0,982740998
102,ALL_predictors,0,1,0,984970228
102,NO_predictors,0,1,0,982588288
103,T_predictors,0,0,0,991441213
103,F_predictors,0,0,NA
103,ALL_predictors,0,0,0,990375574
103,NO_predictors,0,0,0,991453316
104,T_predictors,0,0,0,870673545
104,F_predictors,0,0,0,793782912
104,ALL_predictors,0,0,0,870674351
104,NO_predictors,0,0,0,655276428
105,T_predictors,0,0,0,988577935
105,F_predictors,0,0,0,988577936
105,ALL_predictors,0,0,0,988577938
105,NO_predictors,0,0,0,988577938
106,T_predictors,0,0,0,900809873
106,F_predictors,0,0,0,878350958
106,ALL_predictors,0,0,NA
106,NO_predictors,0,0,0,779474583
107,T_predictors,0,0,0,837240354
107,F_predictors,0,0,0,790899527
107,ALL_predictors,0,0,0,824338995
107,NO_predictors,0,0,NA
108,T_predictors,0,0,0,992404106
108,F_predictors,0,0,0,935808755
108,ALL_predictors,0,0,0,992567347
108,NO_predictors,0,0,0,972969465
109,T_predictors,0,0,NA
109,F_predictors,0,0,0,938180161
109,ALL_predictors,0,0,0,900033484
109,NO_predictors,0,0,0,891624206
110,T_predictors,0,0,0,962129782
110,F_predictors,0,0,0,968795555
110,ALL_predictors,0,0,0,966947299
110,NO_predictors,0,0,0,904323711
111,T_predictors,0,0,0,31167249
111,F_predictors,0,0,0,29227539
111,ALL_predictors,0,0,0,312178508
111,NO_predictors,0,0,-0,143123492
112,T_predictors,0,0,0,942388753
112,F_predictors,0,0,0,930211611
112,ALL_predictors,0,0,0,942388786
112,NO_predictors,0,0,0,780822752
113,T_predictors,0,0,0,489778119
113,F_predictors,0,0,-0,042183967
113,ALL_predictors,0,0,0,492005757
113,NO_predictors,0,0,-0,883584738
114,T_predictors,0,0,0,941408981
114,F_predictors,0,0,0,862334956
114,ALL_predictors,0,0,0,941417326
114,NO_predictors,0,0,0,801948577
115,T_predictors,0,0,0,896261339
115,F_predictors,0,0,0,96688814
115,ALL_predictors,0,0,0,963290223
115,NO_predictors,0,0,0,851315233
116,T_predictors,0,0,0,897996464
116,F_predictors,0,0,0,901841323
116,ALL_predictors,0,0,0,901854862
116,NO_predictors,0,0,0,897996418
117,T_predictors,0,0,0,992974456
117,F_predictors,0,0,0,991651852
117,ALL_predictors,0,0,0,993071511
117,NO_predictors,0,0,0,974950803
118,T_predictors,0,0,0,969327388
118,F_predictors,0,0,0,964731953
118,ALL_predictors,0,0,0,965129107
118,NO_predictors,0,0,0,953339239
119,T_predictors,0,0,0,995101122
119,F_predictors,0,0,0,995737273
119,ALL_predictors,0,0,0,99552997
119,NO_predictors,0,0,0,994466574
120,T_predictors,0,0,0,989165852
120,F_predictors,0,0,0,989266235
120,ALL_predictors,0,0,0,989282624
120,NO_predictors,0,0,0,988618936
121,T_predictors,0,0,0,929903879
121,F_predictors,0,0,0,902364989
121,ALL_predictors,0,0,0,928120024
121,NO_predictors,0,0,0,608568333
122,T_predictors,0,0,0,973677862
122,F_predictors,0,0,0,977409934
122,ALL_predictors,0,0,0,977889674
122,NO_predictors,0,0,0,968857856
123,T_predictors,0,0,0,755212005
123,F_predictors,0,0,0,749652315
123,ALL_predictors,0,0,0,753768725
123,NO_predictors,0,0,0,74517638
124,T_predictors,0,0,0,913136572
124,F_predictors,0,0,0,940406122
124,ALL_predictors,0,0,0,933853366
124,NO_predictors,0,0,0,917866905
125,T_predictors,0,0,0,833288305
125,F_predictors,0,0,0,860428402
125,ALL_predictors,0,0,0,858210316
125,NO_predictors,0,1,0,789001455
126,T_predictors,0,0,0,95487525
126,F_predictors,0,0,0,930691837
126,ALL_predictors,0,0,0,960932332
126,NO_predictors,0,0,0,914293179
127,T_predictors,1,1,0,957229065
127,F_predictors,1,1,0,896968312
127,ALL_predictors,1,1,0,957129034
127,NO_predictors,1,1,0,886432967
128,T_predictors,0,0,NA
128,F_predictors,0,0,0,837903893
128,ALL_predictors,0,0,0,838649693
128,NO_predictors,0,0,0,80645363
129,T_predictors,0,0,0,973575622
129,F_predictors,0,0,0,974083145
129,ALL_predictors,0,0,0,967679765
129,NO_predictors,0,0,0,965223649
130,T_predictors,0,0,0,938749921
130,F_predictors,0,0,0,950482007
130,ALL_predictors,0,0,0,950600154
130,NO_predictors,0,0,0,891094043
131,T_predictors,0,0,0,981226289
131,F_predictors,0,1,0,978286612
131,ALL_predictors,0,0,0,981226268
131,NO_predictors,0,0,0,977819733
132,T_predictors,1,1,0,915585999
132,F_predictors,1,1,0,914670552
132,ALL_predictors,1,1,0,913249244
132,NO_predictors,0,0,0,653723502
133,T_predictors,0,0,0,870898015
133,F_predictors,0,0,0,857492495
133,ALL_predictors,0,0,0,866479492
133,NO_predictors,0,0,0,824561366
134,T_predictors,0,0,0,932176366
134,F_predictors,0,1,0,930537095
134,ALL_predictors,1,1,0,930536947
134,NO_predictors,1,1,0,930537217
135,T_predictors,0,1,0,980463327
135,F_predictors,0,0,0,960251108
135,ALL_predictors,1,1,0,973987331
135,NO_predictors,0,0,0,962697535
136,T_predictors,0,0,0,978956443
136,F_predictors,0,0,0,978956439
136,ALL_predictors,0,0,0,978956421
136,NO_predictors,0,0,0,978956447
137,T_predictors,0,0,0,97056314
137,F_predictors,0,0,0,955689928
137,ALL_predictors,0,0,0,97504881
137,NO_predictors,0,0,0,945780211
138,T_predictors,0,0,0,929741754
138,F_predictors,0,0,0,927709821
138,ALL_predictors,0,0,0,92771043
138,NO_predictors,0,0,0,834499485
139,T_predictors,0,0,0,937911814
139,F_predictors,0,0,0,945323237
139,ALL_predictors,0,0,0,9058453
139,NO_predictors,0,0,0,891466571
140,T_predictors,0,0,0,773307694
140,F_predictors,0,0,0,778154284
140,ALL_predictors,0,0,0,773305796
140,NO_predictors,0,0,0,758349351
141,T_predictors,0,0,0,917741878
141,F_predictors,0,0,0,909755641
141,ALL_predictors,0,0,0,917739015
141,NO_predictors,0,0,0,906079011
142,T_predictors,0,0,0,992217165
142,F_predictors,0,0,0,987461162
142,ALL_predictors,0,0,0,990563561
142,NO_predictors,0,0,0,988208651
143,T_predictors,0,0,0,852043692
143,F_predictors,0,0,0,454920156
143,ALL_predictors,0,0,0,842829174
143,NO_predictors,0,0,-0,889334709
144,T_predictors,0,0,0,867300086
144,F_predictors,0,0,0,834828349
144,ALL_predictors,0,0,0,867670019
144,NO_predictors,0,0,0,825077291
145,T_predictors,0,0,0,876809263
145,F_predictors,0,0,0,882402237
145,ALL_predictors,0,0,0,881732415
145,NO_predictors,0,0,0,797496667
146,T_predictors,0,0,0,948278309
146,F_predictors,0,1,0,940236804
146,ALL_predictors,0,1,0,95439155
146,NO_predictors,0,0,0,900025694
147,T_predictors,0,0,0,985393383
147,F_predictors,1,1,0,984433005
147,ALL_predictors,0,1,0,985768222
147,NO_predictors,0,0,0,959078081
148,T_predictors,0,0,0,921135156
148,F_predictors,0,0,0,921134142
148,ALL_predictors,0,0,0,921135142
148,NO_predictors,0,0,0,921132239
149,T_predictors,0,0,0,758658709
149,F_predictors,0,0,0,723902485
149,ALL_predictors,0,0,0,714629346
149,NO_predictors,0,0,0,720646646
150,T_predictors,0,0,0,968465246
150,F_predictors,0,0,0,960570077
150,ALL_predictors,0,0,0,960687688
150,NO_predictors,0,0,0,961892203
151,T_predictors,0,0,0,845721422
151,F_predictors,0,0,0,846695486
151,ALL_predictors,0,0,0,845721396
151,NO_predictors,0,0,0,776923937
152,T_predictors,0,0,0,777729538
152,F_predictors,0,0,0,768891063
152,ALL_predictors,0,0,0,788382933
152,NO_predictors,0,0,0,64248949
153,T_predictors,0,0,0,888188451
153,F_predictors,0,0,0,890166815
153,ALL_predictors,0,0,0,895769622
153,NO_predictors,0,0,0,861742631
154,T_predictors,0,0,0,927703149
154,F_predictors,0,0,0,921257975
154,ALL_predictors,0,0,0,921141246
154,NO_predictors,0,0,0,921228845
155,T_predictors,0,0,0,889349982
155,F_predictors,0,0,0,889349843
155,ALL_predictors,0,0,0,889349961
155,NO_predictors,0,0,0,889182271
156,T_predictors,0,1,0,925444748
156,F_predictors,0,0,0,923929756
156,ALL_predictors,0,0,0,931685029
156,NO_predictors,0,0,0,922038842
157,T_predictors,0,0,0,949121284
157,F_predictors,0,0,0,952286332
157,ALL_predictors,0,0,0,948969143
157,NO_predictors,0,0,0,947169547
158,T_predictors,0,0,0,894692362
158,F_predictors,0,0,0,899171315
158,ALL_predictors,0,0,0,89893902
158,NO_predictors,0,0,0,893903484
159,T_predictors,0,0,0,747664083
159,F_predictors,0,0,0,658951122
159,ALL_predictors,0,0,0,849055987
159,NO_predictors,0,0,0,516876192
160,T_predictors,0,0,0,891676278
160,F_predictors,0,0,0,849393343
160,ALL_predictors,0,0,0,897863136
160,NO_predictors,0,0,0,545416063
161,T_predictors,0,0,0,955546518
161,F_predictors,0,0,0,929366123
161,ALL_predictors,0,0,0,963852771
161,NO_predictors,0,0,0,932371211
162,T_predictors,0,1,0,966475653
162,F_predictors,0,1,0,971556558
162,ALL_predictors,0,0,0,98048495
162,NO_predictors,1,1,0,962405211
163,T_predictors,0,0,0,933916569
163,F_predictors,0,0,0,933917423
163,ALL_predictors,0,0,0,933918922
163,NO_predictors,0,0,0,933919103
164,T_predictors,0,0,-0,922900751
164,F_predictors,0,0,-0,925711442
164,ALL_predictors,0,0,-0,922900855
164,NO_predictors,0,0,-0,925711129
165,T_predictors,0,0,0,963428398
165,F_predictors,0,0,0,936381271
165,ALL_predictors,0,0,0,964636608
165,NO_predictors,0,0,0,676805899
166,T_predictors,0,0,0,285434923
166,F_predictors,0,0,NA
166,ALL_predictors,0,0,0,28136273
166,NO_predictors,0,0,0,27803841
167,T_predictors,0,0,0,894474012
167,F_predictors,0,0,0,783422866
167,ALL_predictors,0,0,0,888147409
167,NO_predictors,0,0,0,796883967
168,T_predictors,0,0,0,929941157
168,F_predictors,0,0,0,929940929
168,ALL_predictors,0,0,0,929941096
168,NO_predictors,0,0,0,929937269
169,T_predictors,0,0,0,978221002
169,F_predictors,0,0,0,981825289
169,ALL_predictors,0,0,0,981555202
169,NO_predictors,0,0,0,974162607
170,T_predictors,0,0,0,91386134
170,F_predictors,0,0,0,915504274
170,ALL_predictors,0,0,0,911623976
170,NO_predictors,0,0,0,898751777
171,T_predictors,0,0,0,985880067
171,F_predictors,0,0,0,985879845
171,ALL_predictors,0,0,0,985879745
171,NO_predictors,0,0,0,985879841
172,T_predictors,0,0,0,82211332
172,F_predictors,0,0,0,818555899
172,ALL_predictors,0,0,0,82782586
172,NO_predictors,0,0,NA
173,T_predictors,0,0,0,998319548
173,F_predictors,0,0,0,998809709
173,ALL_predictors,0,0,0,998817719
173,NO_predictors,0,0,0,996817651
174,T_predictors,0,0,0,992242098
174,F_predictors,0,0,0,992278495
174,ALL_predictors,0,0,0,992281175
174,NO_predictors,0,0,0,992084356
175,T_predictors,0,0,0,993024216
175,F_predictors,0,0,0,964329489
175,ALL_predictors,0,0,0,992891701
175,NO_predictors,0,0,0,987606881
176,T_predictors,0,0,0,959998497
176,F_predictors,0,0,0,966763997
176,ALL_predictors,0,0,0,970371978
176,NO_predictors,0,0,0,962983198
177,T_predictors,0,0,0,925167024
177,F_predictors,0,0,0,881616564
177,ALL_predictors,0,0,0,92980536
177,NO_predictors,0,0,0,836920828
178,T_predictors,0,0,0,822502512
178,F_predictors,0,0,0,798592319
178,ALL_predictors,0,0,0,821074358
178,NO_predictors,0,0,0,699240931
179,T_predictors,0,0,0,82042343
179,F_predictors,0,0,0,852694
179,ALL_predictors,0,0,0,807269644
179,NO_predictors,0,0,0,83902564
180,T_predictors,0,0,0,690154643
180,F_predictors,0,0,0,890068564
180,ALL_predictors,0,0,0,892102853
180,NO_predictors,0,0,0,804504965
181,T_predictors,0,0,0,901325057
181,F_predictors,0,0,0,892022512
181,ALL_predictors,0,0,0,936969756
181,NO_predictors,0,0,0,856032358
182,T_predictors,0,0,0,879326095
182,F_predictors,0,0,0,809568281
182,ALL_predictors,0,0,0,882490013
182,NO_predictors,0,0,0,771042883
183,T_predictors,1,1,0,98814835
183,F_predictors,0,0,0,988909395
183,ALL_predictors,0,0,0,989817671
183,NO_predictors,0,0,0,984257542
184,T_predictors,0,0,0,93458227
184,F_predictors,0,0,0,953528474
184,ALL_predictors,0,0,0,955710443
184,NO_predictors,0,0,0,858890338
185,T_predictors,0,0,0,841906246
185,F_predictors,0,0,0,816882177
185,ALL_predictors,0,0,0,869065784
185,NO_predictors,0,0,0,844254364
186,T_predictors,0,0,0,842479266
186,F_predictors,0,0,0,822694034
186,ALL_predictors,0,0,0,817063215
