series_id,"synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
44,"F_predictors",0,0,0.924454913360949
44,"ALL_predictors",0,0,0.923444165770263
44,"NO_predictors",0,0,0.837640437805289
45,"T_predictors",0,0,0.874000639086614
45,"F_predictors",0,0,0.87498394842499
45,"ALL_predictors",0,0,0.864280609307332
45,"NO_predictors",0,0,NA
46,"T_predictors",0,0,0.763930732869068
46,"F_predictors",0,0,0.750757414578639
46,"ALL_predictors",0,0,0.778089816224713
46,"NO_predictors",0,0,0.729229092083836
47,"T_predictors",0,0,0.850448028449907
47,"F_predictors",0,0,0.608685362541894
47,"ALL_predictors",0,0,0.850504790632336
47,"NO_predictors",0,0,0.66178820577086
48,"T_predictors",0,0,0.606932409208429
48,"F_predictors",0,0,0.801636479969487
48,"ALL_predictors",0,0,0.830666280138166
48,"NO_predictors",0,0,0.631650097195456
49,"T_predictors",0,0,0.874556983849225
49,"F_predictors",0,0,0.862213382746982
49,"ALL_predictors",0,0,0.878454682577068
49,"NO_predictors",0,0,0.862237329169306
50,"T_predictors",0,0,0.469361803380802
50,"F_predictors",0,0,0.808644244600252
50,"ALL_predictors",0,0,0.805703944091166
50,"NO_predictors",0,0,0.408297840624464
51,"T_predictors",1,1,0.879095205240226
51,"F_predictors",0,0,0.875373534989557
51,"ALL_predictors",1,1,0.881705134847799
51,"NO_predictors",1,1,0.765643424768784
52,"T_predictors",0,0,0.812163127701743
52,"F_predictors",1,1,0.846139991135912
52,"ALL_predictors",0,1,0.858602156242466
52,"NO_predictors",0,0,0.788989362200226
53,"T_predictors",0,1,0.70664802319599
53,"F_predictors",1,1,0.727811018888582
53,"ALL_predictors",0,0,0.727246393116827
53,"NO_predictors",0,1,0.706428255335168
54,"T_predictors",0,0,0.751498313087905
54,"F_predictors",0,0,0.751495738711271
54,"ALL_predictors",0,0,0.751495738316665
54,"NO_predictors",0,0,0.7514957459502
55,"T_predictors",0,0,0.884112379830196
55,"F_predictors",0,0,0.895362968613839
55,"ALL_predictors",0,0,0.895363575469143
55,"NO_predictors",0,0,0.884023872855284
56,"T_predictors",0,0,0.933996481060881
56,"F_predictors",0,0,0.9254151193145
56,"ALL_predictors",0,0,0.933994278403199
56,"NO_predictors",0,0,0.883789443407508
57,"T_predictors",0,0,0.822332220130045
57,"F_predictors",0,0,0.832979999807165
57,"ALL_predictors",0,0,0.837629326868417
57,"NO_predictors",0,0,0.822308991515761
58,"T_predictors",0,0,0.892763601972324
58,"F_predictors",0,0,0.89303134395557
58,"ALL_predictors",0,0,0.893429096920706
58,"NO_predictors",0,0,0.891688039394
59,"T_predictors",0,0,0.885626054099999
59,"F_predictors",0,0,0.885626040318162
59,"ALL_predictors",0,0,0.885626055808947
59,"NO_predictors",0,0,0.885622795688143
60,"T_predictors",0,0,0.830355836264035
60,"F_predictors",0,0,0.83471430334311
60,"ALL_predictors",0,0,0.83905497761427
60,"NO_predictors",0,0,0.830340800204664
61,"T_predictors",0,0,NA
61,"F_predictors",1,1,0.905465620383286
61,"ALL_predictors",0,0,0.906574244077614
61,"NO_predictors",0,1,0.895364380009654
62,"T_predictors",0,0,0.730076150286207
62,"F_predictors",0,0,0.686724977132262
62,"ALL_predictors",0,0,0.728341297687453
62,"NO_predictors",0,0,0.715719186595245
63,"T_predictors",0,0,0.97958708448378
63,"F_predictors",0,0,0.956773288700916
63,"ALL_predictors",0,0,0.97907608069014
63,"NO_predictors",0,0,0.967940644015893
64,"T_predictors",0,0,NA
64,"F_predictors",0,0,0.995703223922774
64,"ALL_predictors",0,0,0.99593299196856
64,"NO_predictors",0,0,0.995274492109534
65,"T_predictors",0,0,0.843124330164245
65,"F_predictors",0,0,0.964075441001914
65,"ALL_predictors",0,0,0.957123447525203
65,"NO_predictors",0,0,0.811598659908191
66,"T_predictors",0,0,0.963330335467731
66,"F_predictors",0,0,0.982863728627335
66,"ALL_predictors",0,1,0.983891957416619
66,"NO_predictors",0,0,0.858670872092734
67,"T_predictors",0,0,0.984743378736458
67,"F_predictors",0,0,0.971984242504052
67,"ALL_predictors",0,0,0.985469468825311
67,"NO_predictors",0,0,0.959577196042772
68,"T_predictors",1,1,0.871092264819214
68,"F_predictors",0,0,0.773826150741963
68,"ALL_predictors",1,1,0.881337071408347
68,"NO_predictors",0,0,0.743561340015772
69,"T_predictors",0,1,0.957513908055586
69,"F_predictors",1,1,0.938658885545431
69,"ALL_predictors",0,1,0.957512958789839
69,"NO_predictors",0,0,0.750355908703479
70,"T_predictors",1,1,0.864581106056947
70,"F_predictors",0,1,0.69999134234036
